name;date(date_from);time(date_from);date(date_to);time(date_to);granularity;line_name;fw_count;bw_count
xovis-1floor;2023-05-04;22:00:00;2023-05-04;23:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-04;23:00:00;2023-05-05;00:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-05;00:00:00;2023-05-05;01:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-05;01:00:00;2023-05-05;02:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-05;02:00:00;2023-05-05;03:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-05;03:00:00;2023-05-05;04:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-05;04:00:00;2023-05-05;05:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-05;05:00:00;2023-05-05;06:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-05;06:00:00;2023-05-05;07:00:00;3600;Центральный вход;2;0
xovis-1floor;2023-05-05;07:00:00;2023-05-05;08:00:00;3600;Центральный вход;17;14
xovis-1floor;2023-05-05;08:00:00;2023-05-05;09:00:00;3600;Центральный вход;73;12
xovis-1floor;2023-05-05;09:00:00;2023-05-05;10:00:00;3600;Центральный вход;106;29
xovis-1floor;2023-05-05;10:00:00;2023-05-05;11:00:00;3600;Центральный вход;117;73
xovis-1floor;2023-05-05;11:00:00;2023-05-05;12:00:00;3600;Центральный вход;116;98
xovis-1floor;2023-05-05;12:00:00;2023-05-05;13:00:00;3600;Центральный вход;106;97
xovis-1floor;2023-05-05;13:00:00;2023-05-05;14:00:00;3600;Центральный вход;104;99
xovis-1floor;2023-05-05;14:00:00;2023-05-05;15:00:00;3600;Центральный вход;98;85
xovis-1floor;2023-05-05;15:00:00;2023-05-05;16:00:00;3600;Центральный вход;101;100
xovis-1floor;2023-05-05;16:00:00;2023-05-05;17:00:00;3600;Центральный вход;94;95
xovis-1floor;2023-05-05;17:00:00;2023-05-05;18:00:00;3600;Центральный вход;54;136
xovis-1floor;2023-05-05;18:00:00;2023-05-05;19:00:00;3600;Центральный вход;46;81
xovis-1floor;2023-05-05;19:00:00;2023-05-05;20:00:00;3600;Центральный вход;36;57
xovis-1floor;2023-05-05;20:00:00;2023-05-05;21:00:00;3600;Центральный вход;10;58
xovis-1floor;2023-05-05;21:00:00;2023-05-05;22:00:00;3600;Центральный вход;5;18
xovis-1floor;2023-05-05;22:00:00;2023-05-05;23:00:00;3600;Центральный вход;0;0
